Press,Headline,Analysis
IT동아,"잇따르는 전기차 화재, 왜 발생할까?",부정
경향신문,"고성능은 기본…전기차, 이제 사이즈로 승부한다",중립
오마이뉴스,"""가장 전기차다운…"" 연비-주행 모든 것 담았다",긍정
MBC,"싼타페 너마저..전기차 시대, 베트남 중국 인도가 몰려온다",중립
오토타임즈,"[시승]엔트리 고급 전기차의 가치, 아우디 Q4 e-트론 40",중립
연합뉴스,"""중국산 전기차 몰려온다""…美 자동차 시장 경고",부정
연합뉴스,"""日도요타, 테슬라 추격 위해 전기차 사업 '리부팅' 검토""",중립
연합뉴스,'리스' 전기차로 숨통 텄지만…북미조립·핵심광물 규정 '난관',부정
연합뉴스,"""전기차, 미국 자동차시장 주류로…저비용 힘입어 보급 확산""",긍정
MBC,한국산 전기차 차별 막을 수 있을까?,중립
연합뉴스,"도요타, 일본 공장에 전기차 전용 생산라인 설치 검토",중립
연합뉴스,[시승기] 안정적 주행감 강점..폭스바겐 전기차 ID.4,긍정
전자신문,"[신차드라이브]폭스바겐 ID.4 ""잘 만든 전기차 교과서""",긍정
한겨레,[단독] 뒤차 놀래키는 전기차 ‘브레이크등’…국토부 이제야 바꾼다,부정
국민일보,"'전기차, 전기차 그리 외치더니'.. 유럽서 부는 회의론",부정
연합뉴스,국산과 수입 전기차 보조금 차이 '최소 250만원' 더 벌어질듯,부정
연합뉴스,"진화에만 2시간…소방당국, 전기차 화재 대응에 골머리",부정
문화일보,"<문희수의 시론>전기차 보급, 속도조절 필요하다",중립
한겨레,"내수시장 벗어나는 중국차, ‘전기차’ 앞세워 세계 데뷔 성공할까",중립
연합뉴스,한국산 전기차도 '리스 차량'은 美인플레법 보조금 받는다(종합),긍정
오토타임즈,"[하이빔]전기차 시대, 판매사도 바짝 긴장?",중립
동아일보,“전기차 배터리 40% 남으면 조급… 생활권내 충전소 미리 확인을”,중립
KBS,[ET] 전기차 30만 대 시대..현황과 보완점은?,중립
문화일보,<오후여담>뒤죽박죽 전기차 보조금,부정
연합뉴스,'북미조립' 언급없는 美 IRA 일정표…한국 전기차 차별해소 난망,부정
헬스조선,불 붙으면 '열폭주'… 전기차 탈출 묘수는?[살아남기],부정
뉴시스,BMW i7 살펴본 이재용…전기차 협력 강화 약속,긍정
뉴시스,"日정부, 전기차 대상 주행거리별 세금 부과 검토",중립
머니투데이,"""AS망 갖춰야 보조금"" 韓전기차 맞불",부정
연합뉴스,"정부, IRA 상업용 전기차 요건 완화 제안 방침…돌파구 주목(종합)",긍정
오토타임즈,[하이빔]차별로 변질되는 전기차 보조금,부정
일간스포츠,3고 뚫은 경차의 부활…내년엔 전기차 모델 가세,중립
머니투데이,전기차로 '탄소중립·일자리 보호' 두 마리 토끼 잡는 獨,긍정
전자신문,[카&테크]미래 전기차 핵심 '열 관리' 기술,중립
뉴시스,"""유럽 전기차 고속충전비 휘발유값보다 비싸""",부정
연합뉴스,"韓美 '한국산 전기차 보조금 제외' 협의 착수..美 ""긴밀 연락""",중립
연합뉴스,개인 소유 전기차 충전기 공유 서비스 허용..수익창출 가능,긍정
오토타임즈,"[하이빔]전기차, 배터리 가격의 진짜 고민",중립
조선비즈,[시승기] 가속페달 하나로 주행 가능… 볼보 전기차 ‘C40 리차지’,긍정
한국경제,"""1.8억 값어치 하네""..'신기술 중무장' 벤츠 전기차 EQS [신차털기]",긍정
한국경제,전기차 인기인데 보조금 남아돈다…'기현상' 벌어진 까닭,중립
SBS,'수리비 폭탄' 전기차 배터리..묻지마 교체 막는다,부정
비즈워치,"토요타, 전기차보다 하이브리드 밀고있는 이유",부정
연합뉴스,"바이든 ""전기차 미국내 생산"" 거듭 강조..차별 해소 장기화하나(종합)",중립
전자신문,인기 전기차 품귀… 내년까지 밀렸다,부정
연합뉴스,"세계 완성차업계, 배터리·반도체 부족에 전기차 수요 못 따라가",부정
동아일보,"도요타, 전동화 전략 대대적 수정…하이브리드-전기차 놓고 갈팡질팡?",부정
연합뉴스,"중국서 전기차 업계 뜨거운 판촉 경쟁..할인, 보험료 지원",긍정
헬스조선,"전기차 화재 위험, 과대평가 vs 과소평가?",중립
머니투데이,"'대륙의 실수' '샤오미', 전기차 도전은 '진짜' 실수?",부정
문화일보,<오후여담>高비용 전기차,부정
연합뉴스,"중국 전기차 비야디, 상반기 순이익 3배로 증가",긍정
IT동아,전기차 확산 막아선 대외 불확실성,부정
연합뉴스,"정부, IRA 전기차 세액공제 관련 의견서 美 정부에 제출(종합)",중립
중앙일보,"""보조금 잡아라"" 니로부터 코란도‧볼트까지 '전기차 풍년'",긍정
뉴시스,"美 전기차 보조금 축소..""현대차 해법, 이것밖에 없다""",부정
연합뉴스,전기차 배터리 카르텔 생기나…호주 리튬·인니 니켈 동맹 추진,부정
파이낸셜뉴스,"전기료 치솟는 유럽, 전기차 유지비가 휘발유보다 비싸",부정
연합뉴스,"바이든, 'IRA 조정' 가능성 첫 시사…한국 전기차 차별 해소되나",중립
한국경제,"""대세면 뭐합니까""..전기차 대신 하이브리드 찾는 이유",부정
연합뉴스,주유소에도 전기차 충전기..공원서 자율주행로봇 배달(종합),중립
매일경제,노란색 미러·동그란 디스플레이..'미니' 감성 담은 전기차,긍정
한겨레,전기료 오르고 충전소 여전히 부족…전기차는 미래인가?,중립
MBC,"전기차 차별 대응에 새로운 전략..""미국에 논란 만들겠다""",부정
연합뉴스,수입전기차 잘 나가는데…전동화 더딘 '르쌍쉐' 존재감 없어,부정
비즈워치,'HEV·PHEV·BEV' 다양한 전기차..어떤 차이 있을까,중립
연합뉴스,"미 전기차 보조금 준다지만..""이미 부유층 전유물""",부정
한국경제,"""휘발유 비싸지고 전기차 보조금 줄고""…새해 달라지는 것들",부정
뉴시스,"현대차그룹, 美 30만대 전기차 공장 기공식..2025년 양산(종합)",긍정
노컷뉴스,전기차도 '덩치' 경쟁…'고급·대형화' 바람 분다,중립
조선일보,"오스카 음악상 한스 치머, 전기차를 악기로 삼다",중립
연합뉴스,[美중간선거] 의회 권력변화에 '한국 전기차 차별' 인플레法 달라질까,중립
경향신문,보조금 없어도..'고가 전기차' 판매 질주,긍정
주간동아,"美 전기차 시장 악재 현대차그룹, 역대급 실적 이어갈까",부정
조선비즈,일부러 소음 넣고 덜컹거리게… 기름차 느낌 내는 전기차,부정
SBS Biz,일단 '살아남고' 보자..'전기차 올인' 힘 조절,중립
연합뉴스,"'역풍 직면' 中 전기차 스타트업 삼총사, 질주 멈출까",부정
연합뉴스,"전기차 화재 매년 증가..정우택 ""진압장비 부족, 대응책 시급""",부정
동아일보,세계 1위 전기차 업체는 어디? 테슬라를 제쳤다고?[딥다이브],중립
뉴시스,주유기 옆에 전기차 충전기?..미래차 충전 인프라 확충 가속도(종합),긍정
KBS,전기차 충전소 지하에 ‘속속’…화재 대비는 ‘무방비’,부정
SBS,"""72시간 물 뿌려야.."" 속수무책 전기차 화재, 대안 시급",부정
조선일보,"이륜차의 땅 동남아, 전기차의 전쟁터로",중립
연합뉴스,"""美, 11월 중간선거 뒤 전기차 원산지 규정 유연 적용 가능성""",중립
KBS,충전·유지비·화재…한파에 드러난 전기차 3대 민낯,부정
뉴시스,전기차 수리비 폭탄 피하려면..특약으로 부담 줄여야,부정
연합뉴스,"바이든 ""미국산 전기차에 보조금""..연일 인플레감축법 홍보(종합)",중립
연합뉴스,"美·EU 전기차 보조금 해법 논의 속도?..美 ""문제 해결 확신""",긍정
뉴시스,美 중간선거 D-1...현대차그룹 '전기차 보조금' 향배는?,중립
연합뉴스,"美재무부, 전기차 세액공제 지침 마련 중..한국 입장 반영될까",중립
연합뉴스,"유럽 전기차 시장에 먹구름…""주유보다 비싸진 충전""",부정
연합뉴스,"현대차, G80 롱휠베이스 전기차 공개…G20 정상 차량으로 지원",긍정
경향신문,아이오닉6·EV6 GT 북미 첫선···달아오르는 미국 전기차 시장,긍정
한겨레,"전기차 충돌 직후 800℃ ‘열폭주’…모서리 박으면 더 위험, 왜",부정
연합뉴스,"한국, 전기차 수출 세계 4위..1~3위는 독일·미국·중국",중립
주간동아,"전기차, '인포테인먼트' 품고 뉴노멀車 될까",중립
머니투데이,"""내년엔 보조금 폐지, 빨리 사자""…中, 전기차 불티나게 팔렸다",긍정
주간동아,떠오르는 동남아 전기차 시장 한중일 각축전,중립
연합뉴스,[시승기] 맘놓고 오래 달려도 걱정없는 전기차..현대차 아이오닉6,긍정
한국경제,[시론] 빠르게 다가오는 '전기차 혁명',긍정
지디넷코리아,"""아이오닉6 살까? EV6 GT 살까?""..하반기 전기차 몰려온다",중립
오토타임즈,"다마스 라보 빠진 경상용차, 中 전기차 장악",부정
JIBS,"'순식간에 1,000도'...전기차 화재 진압 장비 도입",부정
연합뉴스,[시승기] 전기차 가능성을 봤다…르노 XM3 이테크 하이브리드,긍정
연합뉴스,"숄츠 다녀간 뒤…BMW, 中전기차 배터리공장에 1조9천억원 투자",긍정
동아일보,"돈줄 얼어붙은 전기차 배터리 업계, 美공장 투자 등 보류",부정
한겨레,"본격적 전기차 시대 진입, 충전기가 관건이다",중립
연합뉴스,IRA로 2030년 美승용차 판매 절반 전기차 전망..한국차만 '소외',부정
한겨레,"[ESC] 2022 전기차, 누가 날 막을 것인가",중립
연합뉴스,"대만 폭스콘 회장 ""중국에서 전기차 안 만든다""",부정
연합뉴스,"대만, 전기차 핵심부품 개발 등에 4년간 2천200억원 지원",긍정
국제신문,달리던 전기차 또 활활...원인 모를 잇단 화재에 사용자 불안,부정
IT동아,'마이브' 차주에게 물었다..초소형 전기차 타보니 어때요?,중립
연합뉴스,"한미, '전기차 차별' 별도협의체 구성..""최대한 많은 대안 논의""(종합)",중립
머니투데이,K배터리 막더니...韓 전기차 시장 공략하는 중국,부정
한국경제,"제주도는 어떻게 전기차 '천국'이 됐나…""내년 '시즌 2' 예고""",긍정
머니투데이,"휴가철 전기차 충전 '바글바글'..""전쟁터였다""",부정
IT동아,"소니·혼다 모빌리티, 日 전기차 구원투수 될까",중립
머니투데이,르노+구글+퀄컴의 '전기차'는? 르노 'EV 총력전',긍정
국민일보,‘토르의 망치’ ‘북유럽 미니멀리즘’ 담은 전기차,긍정
YTN,"[팩트와이] 국내 전기차 보조금, 테슬라가 쓸어간다?",중립
한국경제,"""테슬라 잡는다""..링컨 전기차 앞세운 포드의 야심찬 전략 [서기열의 실리콘밸리나우]",중립
MBN,[김주하의 '그런데'] '한국은 전기차 호구' 아는가?,부정
뉴시스,발생하면 치명적인 전기차 화재사고...대책 없나?,부정
연합뉴스,"전기차 충성도 높다..""美구매자, 휘발유차로 돌아가지 않아""",긍정
연합뉴스,전기차 보조금 협의 시작한 날 美는 인플레감축법 적극 홍보,중립
뉴시스,한국 전기차 생산 놓고 'GM vs 르노' 엇갈린 입장..왜?,중립
오토타임즈,[하이빔]정비센터 많으면 전기차 보조금을 더?,중립
뉴시스,"""국내 전기차 산업, 교체식 배터리 도입 고려해야""",중립
문화일보,WP “미국 전기차 시장 내 중국산 비중 커진다” 경고,부정
전자신문,레이부터 토레스까지.. 전기차로 변신 중,긍정
한국경제,"[단독] LG유플러스, 전기차 충전 사업 본격화…플랫폼 '볼트업' 출시",긍정
머니투데이,"대만, 반도체 이어 전기차도? '아이폰' 그 회사 ""테슬라 생산하고파""",중립
머니투데이,"추운 날 충전 안되고, 달리다 갑자기 '불'…전기차 운전자들 불안",부정
중앙일보,"""오차? 머리카락 10분의 1 굵기도 안돼"" 전기차 진동 잡는 기술",중립
국민일보,'이러다 기름값 넘볼라 ..' 전기료 인상에 전기차 '빨간등',부정
오토타임즈,"[시승]욕심 많은 전기차, 볼보차 C40 리차지",중립
머니투데이,전기차 생태계 빨아들이는 美 IRA..충전기 공장도 미국행 러시,긍정
오마이뉴스,"가장 한국적인 전기차 아이오닉6, 한계를 넘어서다",긍정
연합뉴스,"테슬라, 중국서 전기차 가격 인하..주가 장중 200달러 하회",부정
연합뉴스,"인도네시아, 도요타 생산공장도 유치..전기차 허브구상 '탄력'",긍정
세계일보,"“美 IRA 전기차 보조금, WTO·FTA 규정 위반 가능성”",부정
조선비즈,"달릴 때 바퀴 빠지는 도요타 전기차 ""회전력 계산 착오""",부정
연합뉴스,"정부대표단, 美의 한국산 전기차 보조금 지급 제외 협의차 방미",중립
머니투데이,중국인 전기차 사니..'배터리'도 BYD가 LG엔솔 따라잡나? [차이나는 중국],중립
비즈워치,"[르포]SK온 헝가리공장, 전기차 30만대 공급규모 직접보니",중립
연합뉴스,"美서 전기차 전용기지 첫발..현대차, 미래성장 동력 전환 가속",긍정
뉴시스,신차보다 비쌌던 중고 전기차·하이브리드...가격 떨어질까,중립
데일리안,전동화 시대에도 퍼포먼스 포기 못해..줄 잇는 고성능 전기차,긍정
동아일보,“10년 전 전기차 느낌”…그린수소 대전이 시작됐다[딥다이브],중립
한국경제,"""전기차 맞아?""..이질감 쏙 뺀 폭스바겐 'ID.4' [신차털기]",중립
연합뉴스,"옐런 美재무 ""한국측 전기차 우려 고려하겠지만 법대로 시행""",중립
머니투데이,테슬라와 반대 '가성비' 통했다..무섭게 질주하는 中 전기차,부정
뉴시스,상용차도 '친환경'..수소·전기차 글로벌 시장 누빈다,중립
매일경제,美언론도 지적한 ‘바이든 실책’…韓 전기차 ‘최악’은 피했다,중립
한국경제,"""히터도 못 틀겠네""…전기차 차주들 겨울철 복병에 '초비상'",부정
매일경제,아이오닉6·폴스타3…내년 출시될 ‘멋진’ 전기차에 선정,긍정
채널A,[단독]아파트 전기차 화재 진화할 덮개 '전무',부정
연합뉴스,[시승기] 빠른데 안락하다..가장 잘 달리는 전기차 EV6 GT,긍정
오토타임즈,"[시승]전용 전기차 부럽지 않다, 기아 니로 EV",긍정
매일경제,이 회사가 전기차와 무슨 상관?…충전기 운영사 알고보니,부정
더팩트,포항제철소 때린 태풍에..하이브리드·전기차 출고 더 늦어지나,부정
연합뉴스,[포켓이슈] 쉽게 안꺼지는 전기차 화재…지하에서 발생한다면?,부정
연합뉴스,"통상본부장 ""美측과 '전기차 문제' 조속히 풀 방안 찾기로 합의""",긍정
국제신문,미국서 '국내 전기차 구하기' 대작전..윤 대통령 나서나?,중립
머니투데이,"BMW ""2.4조 투자, 美서 전기차 만든다"".. 獨정부 IRA '작심 비판'",부정
뉴시스,"""中, 전기차 수익성 저하로 하이브리드 재부상""",부정
연합뉴스,"현대차그룹 美전기차공장 부지정지작업 끝내…""공사 착착 진행""",긍정
전자신문,전기차 배터리 '쾌속 성장'… 소부장 '반사이익',긍정
한국경제TV,현대차 미 전기차 공장 착공..돌파구 없는 'IRA',부정
한겨레,베엠베는 왜 영화음악 감독과 계약했나..전기차 '배기음' 전쟁 [ESC],중립
연합뉴스,[CES 2023] 동박부터 전기차 배터리까지…SK '전기차 생태계' 한자리에,긍정
한국경제,"전기차 '타이칸' 만든 포르쉐 수장, 주춤하는 폭스바겐 혁신 나선다",중립
IT동아,"전동화 물결 탄 전기차 타이어, 특징과 종류는?",중립
한겨레,[논썰] 미국의 전기차 '뒤통수'에 '허둥지둥' 윤 정부,부정
연합뉴스,"국회, '韓전기차 지원 제외' 美인플레감축법 우려 결의안 채택",부정
조선일보,전기차 ‘춘추전국’… 베트남·대만·인도 기업들 테슬라에 도전장,중립
YTN,[팩트와이] 우리나라만 전기차 우대 안 한다?,부정
한국경제,"코란도 전기차, 트랙스 후속모델까지…내년도 'SUV 판' 깔린다",중립
연합뉴스,"전기차 화재 작년 23건, 1년새 2배..아직 미흡한 진압장비",부정
매일경제,"50조 쏟아붓고 ""더뎌도 완벽하게""..이 회사 전기차 마인드 괜찮네 [위클리기사단]",긍정
조선일보,"전기차, 부품 40%줄어 인력조정 불가피… 노조 동의없인 못해",부정
MBC,모델S 출시 10년 - 탄소배출 없는 전기차의 진격,긍정
중앙일보,"[사설] 전기차에 흔들리는 한·미 동맹, 미국이 답할 차례다",부정
연합뉴스,"""내연기관 단종하고 전기차 올인한 베트남 빈패스트 눈여겨봐야""",중립
뉴시스,"아이오닉6, 美매체서 '세상에서 가장 쿨한 전기차' 선정",긍정
비즈워치,①전기차 급증하는데 독 품은 배터리 어쩌나,부정
연합뉴스,'전기차 차별'에 한미 경제협력 차질?..'칩4 회의' 개최 늦어져,부정
한국경제TV,국산 전기차 내수판매 '역대 최고'…아이오닉6 인기,긍정
중앙일보,쏠쏠한 돈 되는 전기차 폐배터리..여기 거치면 전기자전거 부활,긍정
중앙일보,아이폰 떠오른다..'프렁크' 없앤 1억 전기차 벤츠 EQE 타보니,중립
머니투데이,'-7℃' 기온 뚝 떨어지니 전기차 주행거리 '52㎞' 사라졌다,부정
연합뉴스,외통·산자위 '韓전기차 지원 제외' 美인플레감축법 우려 결의안(종합),부정
이코노미조선,[시승기] 아우디 ‘Q4 e-트론’ | 급가속·급정거 없는 아우디 전기차,중립
연합뉴스,"韓 ""전기차 차별로 협력 동력 약화""..美 ""해법 모색 지속 협의""",중립
뉴시스,"도요타 사장 ""전기차? 정답은 아직 불분명…조용한 다수는 의문""",중립
연합뉴스,"BMW, 美전기차 시설에 2조4천억원 투자..獨, IRA에 불만 토로",부정
연합뉴스,한국산 전기차도 '리스 차량'은 美인플레법 보조금 받는다,중립
매일경제,유럽서 잘 나간 이유 있네…전기차 같은 하이브리드 [시승기],중립
머니투데이,충전보다 기름 넣는 게 이득…유럽서 잘 나갔던 전기차 '급제동',부정
매일경제,"[월가월부] ""머스크 또 팔다니""… 테슬라 급락에 전기차株 '눈물'",부정
더스쿠프,불 나면 물 106배 드는 전기차의 고민,부정
오토타임즈,[하이빔]배터리 전기차의 진짜 경제성,중립
연합뉴스,"GM ""전기차, IRA 보조금에 수익성 개선…2025년 흑자전환 전망""",긍정
동아일보,"[김도형 기자의 일편車심]중국, 베트남, 사우디… 전기차 다크호스들",중립
조선비즈,[시승기] '아메리칸 럭셔리'의 진수.. 캐딜락 첫 전기차 리릭,긍정
뉴시스,"푸조, 출시 한달 전기차 파격 할인..보조금 경쟁 시작?",중립
한국경제,충전 안하면서 주차비 먹튀..'전기차 얌체족'에 결국 칼 빼들었다 [車모저모],부정
전자신문,[카&테크]아우디 전기차 생산 로드맵 '360 팩토리',중립
뉴시스,"외통위, '美 전기차 보조금 차별 금지' 촉구 결의안 의결",중립
한국경제,[단독] 기아 화성 전기차공장 표류…사측 '사전공사 요청' 공문,부정
전자신문,"BMW 회장 만난 이재용 ""전기차 협력 강화""",긍정
동아일보,"韓, 전기차 산업 등 ‘샌드위치 신세’… 中에 치이고 美日에 밀려",부정
뉴시스,"올해 中전기차 보조금 2천억 넘을 듯..""정책 개편해야"" 지적",부정
뉴시스,"""中 BYD 급성장..전기차 대중화 동력 될 것""",긍정
조선일보,오히려 비싼 전기차 유지비.. 아직은 이 차에 밀린다,부정
뉴시스,"바이든, '美 자동차 본산' 미시간서 ""전기차 미래 건설""",긍정
대구MBC,"[안동]""꺼도 꺼도 살아나""···영주 전기차 화재 1명 사망",부정
중앙일보,정유회사가 전기차 배터리 개발한 이유는.. [SKI 혁신연구],중립
뉴시스,전기차 충전 기반시설 구축 어떻게?…발전협의회 개최,중립
연합뉴스,전기차 기업·충전기 제조사 모여 급속충전기술 점검..행사 개막,중립
연합뉴스,중국 시장서 토종 전기차에 맹추격 당하는 美테슬라,부정
한국경제,"""너무 좋은데 전기차는 안 되겠다 싶더라고요""…왜? [전기차 30만 시대(1)]",부정
조선일보,"도요타 “뼈대부터 다시 만들자”… 전기차 경쟁, 본게임이 시작됐다",중립
뉴시스,"""전기차 성능 더 높인다""..한국타이어 전기차 타이어 '아이온' 출시",긍정
KBS,[ET] 테슬라 넘어선 중국 전기차 vs 현대차·기아,중립
연합뉴스,"전기차 핵심 '리튬노다지' 중남미, 생산서 민간배제 국영화 나서",부정
연합뉴스,"美, 전기차 보조금 세부규정 제정 착수..11월 4일까지 의견 수렴",중립
뉴시스,"한국GM ""한국에선 전기차 판매만..생산 계획 없다""(종합)",부정
조선일보,테슬라 흉내내던 전기차 스타트업들의 몰락,부정
머니투데이,전기료 상승·보조금 축소…유럽 전기차 '끽',부정
MBC,[미리보는 경제] 기로에 선 한국 전기차,중립
연합뉴스,"美·EU ""전기차 보조금 TF 논의 초기 진전…건설적 해결 약속""(종합)",긍정
한겨레,전기차 시장 지배자 테슬라 선두주자 우위 이어갈까,중립
일간스포츠,"추위 타는 전기차…""한파에 몰기 겁나요""",부정
국민일보,'제2 테슬라' 꿈꾸던 전기차 스타트업들 무너지고 있다,부정
연합뉴스,"바이든, 인플레 감축법 서명..한국산 전기차 보조금 제외 '비상'",부정
한국경제,계묘년 '전기차 대전'…큰 놈끼리 진검승부 펼친다,중립
연합뉴스,"車생산·수출·내수 두자릿수↑..전기차, 하이브리드 첫 추월",긍정
뉴시스,"국회 대표단, '한국산 전기차 차별' IRA 논의 차 방미",중립
SBS Biz,[단독] 내년 '택배 전기차' 빨리 받는다..법 유예도 검토,긍정
아이뉴스24,"[팩트체크] 전기차, 정말 화재에 취약할까?",중립
경향신문,전기차 ‘무선충전 시대’ 열려···과기부 12개 규제혁신전략 발표,긍정
연합뉴스,"EU ""美 IRA, 전기차 보조금 등 최소 9개 항목 국제법 위반 소지""",부정
뉴시스,"韓전기차, '리스·렌터카'는 美서 보조금…""정부 의견 반영""",중립
연합뉴스,"바이든 이어 부통령도 ""韓 우려 이해""..전기차 차별 해법 나올까",중립
뉴시스,"[전기차 10만대 시대③]전기차 중흥, 앞으로 넘어야 할 산은?",중립
조선비즈,전기차 수요 둔화 우려… 잘 나가던 배터리株에 무슨 일?,부정
매일경제,"“빌게이츠 감탄, 머스크 발끈”…‘넘사벽’ 전기차, 타이칸 폭주 [왜몰랐을카]",중립
MBC,"[집중취재M] 충전 중 ""펑!"" 전기차 열폭주 지하에서 나면..",부정
뉴시스,"한국산 '리스 전기차', 美서 전기차 보조금 받는다",긍정
뉴시스,"中 전기차 굴기, 선봉장 '비야디'…한국시장 들어오면?",중립
연합뉴스,전기차 폐배터리 '순환자원'으로 규제완화..재활용률 높인다,긍정
연합뉴스,"한자연 ""인니·태국을 전기차 생산·수출기지로 적극 활용해야""",중립
뉴시스,"연말이면 오르던 중고 전기차...""이번엔 떨어지네?""",부정
채널A,전기차 '맞불'..AS망 따라 테슬라 보조금 깎는다,부정
매일경제,"한국 SOS 애써 외면한 바이든..""美생산 전기차에만 보조금""",부정
세계일보,"정부, IRA 전기차 세액공제 관련 의견서 美 정부에 제출",중립
뉴시스,"[단독]GM 실력자, 실판 아민 사장 방한..노조와 '전기차' 담판",중립
연합뉴스,"통상본부장, 美와 '전기차 차별' 논의..美 ""진지하게 협의할 것""(종합)",중립
머니투데이,"현대차 한숨 돌렸다…美, 한국산 '리스 전기차'도 IRA 보조금",긍정
